_id,image,brand,name,price,powerSupplyStandard,maxMotherboardSize,type,sidePanelWindow
608dd450905ec60bdc069867,/images/case/case.jpg,Cooler Master,Elite 110,383.52,ATX,Mini ITX,Mini ITX Tower,None
608dd450905ec60bdc069868,/images/case/case.jpg,Cooler Master,Elite 130,317.09,ATX,Mini ITX,Mini ITX Tower,None
608dd450905ec60bdc069869,/images/case/case.jpg,Fractal Design,Node 304,409.00,ATX,Mini ITX,Mini ITX Tower,None
608dd450905ec60bdc069870,/images/case/case.jpg,Lian Li,PC-Q08,404.50,ATX,Mini ITX,Mini ITX Tower,None
608dd450905ec60bdc069871,/images/case/case.jpg,Lian Li,PC-Q21,565.57,ATX,Mini ITX,Mini ITX Tower,None
608dd450905ec60bdc069872,/images/case/case.jpg,Lian Li,PC-Q30,455.73,ATX,Mini ITX,Mini ITX Tower,None
608dd450905ec60bdc069873,/images/case/case.jpg,Lian Li,PC-Q36W,1025.57,ATX,Mini ITX,Mini ITX Tower,None
608dd450905ec60bdc069874,/images/case/case.jpg,Lian Li,PC-Q37,1164.30,ATX,Mini ITX,Mini ITX Tower,Tempered Glass
608dd450905ec60bdc069875,/images/case/case.jpg,NZXT,H200i,1179.22,ATX,Mini ITX,Mini ITX Tower,Tempered Glass
608dd450905ec60bdc069876,/images/case/case.jpg,NZXT,H210,399.49,ATX,Mini ITX,Mini ITX Tower,Tempered Glass
608dd450905ec60bdc069877,/images/case/case.jpg,NZXT,H210i,513.70,ATX,Mini ITX,Mini ITX Tower,Tempered Glass
608dd450905ec60bdc069878,/images/case/case.jpg,Phanteks,Enthoo EVOLV ITX,376.42,ATX,Mini ITX,Mini ITX Tower,Acrylic
608dd450905ec60bdc069879,/images/case/case.jpg,Phanteks,Enthoo EVOLV SHIFT,1281.42,ATX,Mini ITX,Mini ITX Tower,Tinted Tempered Glass
608dd450905ec60bdc069880,/images/case/case.jpg,Phanteks,Enthoo EVOLV SHIFT X,793.02,ATX,Mini ITX,Mini ITX Tower,Tinted Tempered Glass
608dd450905ec60bdc069881,/images/case/case.jpg,Phanteks,Evolv Shift 2,527.25,ATX,Mini ITX,Mini ITX Tower,Tempered Glass
608dd450905ec60bdc069882,/images/case/case.jpg,Thermaltake,Core P1,588.82,ATX,Mini ITX,Mini ITX Tower,Tempered Glass
608dd450905ec60bdc069883,/images/case/case.jpg,Thermaltake,The Tower 100,486.35,ATX,Mini ITX,Mini ITX Tower,Tempered Glass
608dd450905ec60bdc069884,/images/case/case.jpg,Cooler Master,MasterBox NR200,553.92,ATX,Mini ITX,Mini ITX Desktop,None
608dd450905ec60bdc069885,/images/case/case.jpg,Cooler Master,MasterBox NR200P,418.10,ATX,Mini ITX,Mini ITX Desktop,Tempered Glass
608dd450905ec60bdc069886,/images/case/case.jpg,Cooler Master,MasterCase H100,208.62,ATX,Mini ITX,Mini ITX Desktop,None
608dd450905ec60bdc069887,/images/case/case.jpg,Cooler Master,MasterCase H100 ARGB,271.00,ATX,Mini ITX,Mini ITX Desktop,None
608dd450905ec60bdc069888,/images/case/case.jpg,Fractal Design,Core 500,304.35,ATX,Mini ITX,Mini ITX Desktop,None
608dd450905ec60bdc069889,/images/case/case.jpg,Fractal Design,Define Nano S,289.47,ATX,Mini ITX,Mini ITX Desktop,Acrylic
608dd450905ec60bdc069890,/images/case/case.jpg,Fractal Design,Era ITX,619.66,ATX,Mini ITX,Mini ITX Desktop,Tinted Tempered Glass
608dd450905ec60bdc069891,/images/case/case.jpg,Lian Li,PC-Q09F,454.77,ATX,Mini ITX,Mini ITX Desktop,None
608dd450905ec60bdc069892,/images/case/case.jpg,Lian Li,TU150,527.30,ATX,Mini ITX,Mini ITX Desktop,Tempered Glass
608dd450905ec60bdc069893,/images/case/case.jpg,Phanteks,Enthoo EVOLV ITX TG,533.08,ATX,Mini ITX,Mini ITX Desktop,Tinted Tempered Glass
608dd450905ec60bdc069894,/images/case/case.jpg,Thermaltake,Core V1,203.84,ATX,Mini ITX,Mini ITX Desktop,None
608dd450905ec60bdc069895,/images/case/case.jpg,Thermaltake,Suppressor F1,483.35,ATX,Mini ITX,Mini ITX Desktop,Acrylic
608dd450905ec60bdc069896,/images/case/case.jpg,Cooler Master,MasterBox E300L,227.73,ATX,MircoATX,MicroATX Mini Tower,None
608dd450905ec60bdc069897,/images/case/case.jpg,Cooler Master,MasterBox Lite 3,215.62,ATX,MircoATX,MicroATX Mini Tower,None
608dd450905ec60bdc069898,/images/case/case.jpg,Cooler Master,MasterBox MB400L,311.99,ATX,MircoATX,MicroATX Mini Tower,Tempered Glass
608dd450905ec60bdc069899,/images/case/case.jpg,Cooler Master,MasterBox Q300L,208.80,ATX,MircoATX,MicroATX Mini Tower,Acrylic
608dd450905ec60bdc069900,/images/case/case.jpg,Cooler Master,MasterBox Q300P,378.47,ATX,MircoATX,MicroATX Mini Tower,Acrylic
608dd450905ec60bdc069901,/images/case/case.jpg,Cooler Master,MasterCase Pro 3,406.18,ATX,MircoATX,MicroATX Mini Tower,Acrylic
608dd450905ec60bdc069902,/images/case/case.jpg,Cooler Master,N200,252.71,ATX,MircoATX,MicroATX Mini Tower,None
608dd450905ec60bdc069903,/images/case/case.jpg,Cooler Master,Silencio S400,390.80,ATX,MircoATX,MicroATX Mini Tower,None
608dd450905ec60bdc069904,/images/case/case.jpg,Fractal Design,Core 1100,212.85,ATX,MircoATX,MicroATX Mini Tower,None
608dd450905ec60bdc069905,/images/case/case.jpg,Fractal Design,Focus G Mini,250.20,ATX,MircoATX,MicroATX Mini Tower,Acrylic
608dd450905ec60bdc069906,/images/case/case.jpg,Fractal Design,Meshify C Mini,422.70,ATX,MircoATX,MicroATX Mini Tower,Tinted Tempered Glass
608dd450905ec60bdc069907,/images/case/case.jpg,Lian Li,PC-V600F,793.66,ATX,MircoATX,MicroATX Mini Tower,Acrylic
608dd450905ec60bdc069908,/images/case/case.jpg,Phanteks,Enthoo EVOLV,540.09,ATX,MircoATX,MicroATX Mini Tower,Acrylic
608dd450905ec60bdc069909,/images/case/case.jpg,Phanteks,Enthoo EVOLV TG,591.05,ATX,MircoATX,MicroATX Mini Tower,Tinted Tempered Glass
608dd450905ec60bdc069910,/images/case/case.jpg,Thermaltake,ARMOR A30i,359.86,ATX,MircoATX,MicroATX Mini Tower,Acrylic
608dd450905ec60bdc069911,/images/case/case.jpg,Thermaltake,Core V21,304.76,ATX,MircoATX,MicroATX Mini Tower,Acrylic
608dd450905ec60bdc069912,/images/case/case.jpg,Thermaltake,S100,274.14,ATX,MircoATX,MicroATX Mini Tower,Tempered Glass
608dd450905ec60bdc069913,/images/case/case.jpg,Thermaltake,S100 Snow Edition,313.27,ATX,MircoATX,MicroATX Mini Tower,Tempered Glass
608dd450905ec60bdc069914,/images/case/case.jpg,Thermaltake,Versa H17,285.06,ATX,MircoATX,MicroATX Mini Tower,None
608dd450905ec60bdc069915,/images/case/case.jpg,Thermaltake,Versa H18,467.01,ATX,MircoATX,MicroATX Mini Tower,Tempered Glass
608dd450905ec60bdc069916,/images/case/case.jpg,Cooler Master,MasterBox Lite 3.1,217.35,ATX,MircoATX,MicroATX Mid Tower,Acrylic
608dd450905ec60bdc069917,/images/case/case.jpg,Cooler Master,MasterBox MB311L ARGB,272.95,ATX,MircoATX,MicroATX Mid Tower,Tempered Glass
608dd450905ec60bdc069918,/images/case/case.jpg,Cooler Master,MasterBox MB320L ARGB,304.40,ATX,MircoATX,MicroATX Mid Tower,Tempered Glass
608dd450905ec60bdc069919,/images/case/case.jpg,Cooler Master,MasterBox NR400 (w/o ODD),312.04,ATX,MircoATX,MicroATX Mid Tower,Tempered Glass
608dd450905ec60bdc069920,/images/case/case.jpg,Cooler Master,MasterBox NR400 (w/ODD),271.50,ATX,MircoATX,MicroATX Mid Tower,Tempered Glass
608dd450905ec60bdc069921,/images/case/case.jpg,Corsair,350D,396.26,ATX,MircoATX,MicroATX Mid Tower,None
608dd450905ec60bdc069922,/images/case/case.jpg,Corsair,Crystal 280X,543.63,ATX,MircoATX,MicroATX Mid Tower,Tempered Glass
