_id,image,brand,name,price,socket,cores,smt,igpu,tdp,stPerformance,mtPerformance,coreClock,boostClock
608dd3c5905ec60bdc069812,/images/cpu/amd-ryzen-3-1000.jpg,AMD,Ryzen 3 1200 (12nm),481.80,AM4,4,FALSE,FALSE,65,821,2680,3.1,3.4
608dd3c5905ec60bdc069813,/images/cpu/amd-ryzen-3-3000.jpg,AMD,Ryzen 3 3100,1247.02,AM4,4,TRUE,FALSE,65,1125,4689,3.6,3.9
608dd3c5905ec60bdc069814,/images/cpu/amd-ryzen-3-3000g.jpg,AMD,Ryzen 3 3200G,850.85,AM4,4,FALSE,TRUE,65,880,2877,3.6,4
608dd3c5905ec60bdc069815,/images/cpu/amd-ryzen-5-1000.jpg,AMD,Ryzen 5 1600 (12nm),577.35,AM4,6,TRUE,FALSE,65,898,4913,3.2,3.6
608dd3c5905ec60bdc069816,/images/cpu/amd-ryzen-5-2000.jpg,AMD,Ryzen 5 2600,768.90,AM4,6,TRUE,FALSE,65,968,5264,3.4,3.9
608dd3c5905ec60bdc069817,/images/cpu/amd-ryzen-5-2000.jpg,AMD,Ryzen 5 2600X,832.15,AM4,6,TRUE,FALSE,95,1041,5666,3.6,4.2
608dd3c5905ec60bdc069818,/images/cpu/amd-ryzen-5-3000g.jpg,AMD,Ryzen 5 3400G,1592.45,AM4,4,TRUE,TRUE,65,932,3609,3.7,4.2
608dd3c5905ec60bdc069819,/images/cpu/amd-ryzen-5-3000.jpg,AMD,Ryzen 5 3500X,690.19,AM4,6,FALSE,FALSE,65,1180,5209,3.6,4.1
608dd3c5905ec60bdc069820,/images/cpu/amd-ryzen-5-3000.jpg,AMD,Ryzen 5 3600,841.70,AM4,6,TRUE,FALSE,65,1206,6688,3.6,4.2
608dd3c5905ec60bdc069821,/images/cpu/amd-ryzen-5-3000.jpg,AMD,Ryzen 5 3600X,1270.68,AM4,6,TRUE,FALSE,95,1248,6898,3.8,4.4
608dd3c5905ec60bdc069822,/images/cpu/amd-ryzen-5-3000.jpg,AMD,Ryzen 5 3600XT,1310.17,AM4,6,TRUE,FALSE,95,1309,7100,3.8,4.5
608dd3c5905ec60bdc069823,/images/cpu/amd-ryzen-5-5000.jpg,AMD,Ryzen 5 5600X,1501.05,AM4,6,TRUE,FALSE,65,1619,8193,3.7,4.6
608dd3c5905ec60bdc069824,/images/cpu/amd-ryzen-7-2000.jpg,AMD,Ryzen 7 2700,2001.55,AM4,8,TRUE,FALSE,65,931,6116,3.2,4.1
608dd3c5905ec60bdc069825,/images/cpu/amd-ryzen-7-2000.jpg,AMD,Ryzen 7 2700X,1343.02,AM4,8,TRUE,FALSE,105,1042,6866,3.7,4.3
608dd3c5905ec60bdc069826,/images/cpu/amd-ryzen-7-3000.jpg,AMD,Ryzen 7 3700X,1364.95,AM4,8,TRUE,FALSE,65,1256,8456,3.6,4.4
608dd3c5905ec60bdc069827,/images/cpu/amd-ryzen-7-3000.jpg,AMD,Ryzen 7 3800X,1432.80,AM4,8,TRUE,FALSE,105,1292,8910,3.9,4.5
