_id,image,brand,name,price,chipset,memoryGb,coreClockMhz,boostClockMhz,lengthMillimeters,tdpW,recommendedPsuWatts,performance
608dd507905ec60bdc069003,/images/gpu/51l6T1TDyGL.jpg,Asus,GT1030-2G-BRK,275,GeForce GT 1030,2,1266,1506,169,30,200,100
608dd507905ec60bdc069004,/images/gpu/23f33272427d79096bbdf50cde76b66f.256p.jpg,Asus,GT1030-2G-CSM,255.00,GeForce GT 1030,2,1266,1506,173,30,200,100
608dd507905ec60bdc069005,/images/gpu/9c293935706d5805af647e8a80ca343d.256p.jpg,Asus,Phoenix Fan OC,250.00,GeForce GT 1030,2,1278,1531,184,30,200,100
608dd507905ec60bdc069006,/images/gpu/44705d81d506394e765caaa8d266f9ae.256p.jpg,EVGA,02G-P4-6332-KR,262.50,GeForce GT 1030,2,1290,1544,145,30,200,100
608dd507905ec60bdc069007,/images/gpu/41DE3tFMA1L.jpg,EVGA,02G-P4-6333-KR,242.50,GeForce GT 1030,2,1290,1544,145,30,200,100
608dd507905ec60bdc069008,/images/gpu/31f6480659f68ee46b467a311e5bf2b6.256p.jpg,EVGA,02G-P4-6338-KR,245.00,GeForce GT 1030,2,1290,1544,168,30,200,100
608dd507905ec60bdc069009,/images/gpu/d6542db9f0d4800eebe502e04f8e0e58.256p.jpg,GALAX,30NPH4HVQ4ST,257.50,GeForce GT 1030,2,1227,1468,180,30,200,100
608dd507905ec60bdc069010,/images/gpu/41HnskHOqGL.jpg,Gigabyte,GV-N1030D5-2GL,275.00,GeForce GT 1030,2,1252,1506,150,30,200,100
608dd507905ec60bdc069011,/images/gpu/2c97511ad5dd91201e854d13f02be2b1.256p.jpg,Gigabyte,GV-N1030OC-2GI,270.00,GeForce GT 1030,2,1290,1544,168,30,200,100
608dd507905ec60bdc069012,/images/gpu/41OF5AGt-ZL.jpg,Gigabyte,GV-N1030SL-2GL,267.50,GeForce GT 1030,2,1252,1506,175,30,200,100
608dd507905ec60bdc069013,/images/gpu/72e36fc8a9b713b7d6eb2dad649347e0.256p.jpg,MSI,AERO ITX OC,262.50,GeForce GT 1030,2,1265,1518,147,30,200,100
608dd507905ec60bdc069014,/images/gpu/f9d922d6b70b8940842274d452a4ac9d.256p.jpg,MSI,GT 1030 2G LP OC,262.50,GeForce GT 1030,2,1265,1518,159,30,200,100
608dd507905ec60bdc069015,/images/gpu/55d5474a8502482db54dff17c92047f9.256p.jpg,MSI,GT 1030 2G LP OCV1,272.50,GeForce GT 1030,2,1265,1518,159,30,200,100
608dd507905ec60bdc069016,/images/gpu/bc5450dc7e1eeecae7856c7eb6f33645.256p.jpg,MSI,GT 1030 2GH LP OC,260.00,GeForce GT 1030,2,1265,1518,153,30,200,100
608dd507905ec60bdc069017,/images/gpu/no-image.png,MSI,GT 1030 2GH LP OCV1,257.50,GeForce GT 1030,2,1265,1518,153,30,200,100
608dd507905ec60bdc069018,/images/gpu/51oo0Eii0vL.jpg,MSI,GT 1030 2GH OC,262.50,GeForce GT 1030,2,1265,1518,147,30,200,100
608dd507905ec60bdc069019,/images/gpu/41r2CgK6CSL.jpg,Zotac,ZT-P10300A-10L,257.50,GeForce GT 1030,2,1227,1468,173,30,200,100
608dd507905ec60bdc069020,/images/gpu/74353127d7c02321536031b1437b1f4d.256p.jpg,EVGA,02G-P4-6232-KR,196.00,GeForce GT 1030 DDR4,2,1189,1460,145,20,200,94
608dd507905ec60bdc069021,/images/gpu/741aa5c32ba589aec861f84908c62b02.256p.jpg,Gigabyte,GV-N1030D4-2GL,200.00,GeForce GT 1030 DDR4,2,1151,1417,150,20,200,94
608dd507905ec60bdc069022,/images/gpu/312vLLqSv5L.jpg,MSI,AERO ITX 2GD4 OC,194.00,GeForce GT 1030 DDR4,2,1189,1430,147,20,200,94
608dd507905ec60bdc069023,/images/gpu/3537ff783ead860dd1ee99c7ea8cfaaf.256p.jpg,MSI,GT 1030 2GD4 LP OC,200.00,GeForce GT 1030 DDR4,2,1189,1430,150,20,200,94
