_id,image,brand,name,price,tier,chipset,socket,formFactor,memorySlots,memoryMaxGb
608dd537905ec60bdc069000,/images/motherboard/c24006eeef3effdb643769c5edf21d1b.256p.jpg,Asus,ROG Crosshair VIII Dark Hero,2179.76,1,X570,AM4,ATX,4,128
608dd537905ec60bdc069001,/images/motherboard/c24006eeef3effdb643769c5edf21d1b.256p.jpg,Asus,ROG Crosshair VIII Formula,2556.41,1,X570,AM4,ATX,4,128
608dd537905ec60bdc069002,/images/motherboard/c24006eeef3effdb643769c5edf21d1b.256p.jpg,Asus,ROG Crosshair VIII Hero,1912.5,1,X570,AM4,ATX,4,128
608dd537905ec60bdc069003,/images/motherboard/c24006eeef3effdb643769c5edf21d1b.256p.jpg,Asus,ROG Crosshair VIII Hero (WI-FI),1961.51,1,X570,AM4,ATX,4,128
608dd537905ec60bdc069004,/images/motherboard/61fgOAI2PuL.jpg,Gigabyte,X570 AORUS MASTER,1488.87,1.7,X570,AM4,ATX,4,128
608dd537905ec60bdc069005,/images/motherboard/7fac2531fd84562ab9ca62b2c32f1f4d.256p.jpg,MSI,MAG X570 TOMAHAWK WIFI,956.21,1.7,X570,AM4,ATX,4,128
608dd537905ec60bdc069006,/images/motherboard/29c3c9cef2ad68a27259fb7a4f93be16.256p.jpg,ASRock,X570 CREATOR,2194.43,2,X570,AM4,ATX,4,128
608dd537905ec60bdc069007,/images/motherboard/a3b75c1c43405c9460434fc5f434139d.256p.jpg,Asus,ROG Strix X570-E Gaming,1362.96,2,X570,AM4,ATX,4,128
608dd537905ec60bdc069008,/images/motherboard/a997f929e59ac43cd8f3624831ad6076.256p.jpg,MSI,MEG X570 ACE,1563.39,2,X570,AM4,ATX,4,128
608dd537905ec60bdc069009,/images/motherboard/ceb331fef7af4383c3e3c11e0eb889df.256p.jpg,MSI,MEG X570 UNIFY,1315.76,2,X570,AM4,ATX,4,128
608dd537905ec60bdc069010,/images/motherboard/9599433f6ef2a7256041de15ee3d1be9.256p.jpg,ASRock,X570 Phantom Gaming X,1554.03,2.3,X570,AM4,ATX,4,128
608dd537905ec60bdc069011,/images/motherboard/a43cfe6b3deca519ea05604568cb0b4b.256p.jpg,ASRock,X570 Taichi,1276.02,2.3,X570,AM4,ATX,4,128
608dd537905ec60bdc069012,/images/motherboard/a3b75c1c43405c9460434fc5f434139d.256p.jpg,Asus,ROG Strix X570-F Gaming,1048.59,2.7,X570,AM4,ATX,4,128
608dd537905ec60bdc069013,/images/motherboard/c96321a1e039a1f7fd1bc917c5ae72b7.256p.jpg,Asus,TUF GAMING X570-PLUS,881.73,2.7,X570,AM4,ATX,4,128
608dd537905ec60bdc069014,/images/motherboard/c96321a1e039a1f7fd1bc917c5ae72b7.256p.jpg,Asus,TUF GAMING X570-PLUS (WI-FI),913.59,2.7,X570,AM4,ATX,4,128
608dd537905ec60bdc069015,/images/motherboard/2131ac4689d1bfc99721a81de8904a52.256p.jpg,Asus,PRIME X570-P,706.59,3,X570,AM4,ATX,4,128
